Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
,4910,16.1,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,5410,16.6,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
,5920,17,30,117,2.98,28.31,12.78,55.93,69.02,0,0.66,30.32,10.56,1.15,21.6704214,5.382567613,1.31928155,0.99885764,11840
CG-85,350,2.9,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,870,5,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,1380,6.8,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,1880,8.3,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,1870,10,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,2900,11.4,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,3380,12.7,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,3910,13.8,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,4430,14.8,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,4930,15.5,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,5420,16.1,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
,5910,16.5,30,65,2.01,27.72,19.67,50.6,65.75,0,3.09,31.16,11.75,1.18,20.75949015,5.229319247,1.398441142,0.990553406,11820
CG-97,370,3.4,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,890,6,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,1360,7.6,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,1870,9.6,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,2360,11,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,2910,12.4,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,3380,13.2,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,3910,14.1,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,4420,14.8,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,4920,15.4,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,5390,15.9,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
,5930,16.1,30,95,2.61,33.86,10.92,52.61,83.15,0,1.94,14.93,17.7,0.94,18.9393285,5.997567136,1.565427387,0.998012338,11860
CG-119,390,3.5,30,25,1.45,27.01,30.01,41.53,62.5,0,0.69,36.81,14.62,1.21,22.26867942,4.822200204,1.09654203,0.994822475,11860
