Sample,Pressure (kPa),EXP_ADS (mL/g),Temparature ©,Depth (m),Moisture (%),VM(%),Ash (%),FC (%),Vitrinite (%),Semi- vitrinite (%),Liptinite (%),Inertinite (%),Mineral matter (%),Mean Ro (%),D–A maximum adsorption (mL/g),DA_E Characteristic adsorption energy (kJ/mol),DA_n Heterogeneity parameter,R2_D–A goodness of fit,DA_P0_2×Pmax​ (kPa)
,1711.491443,3.500777951,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,2772.616137,5.111819721,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,3765.281174,6.128284918,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,4757.94621,7.10978508,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,5733.496333,7.601732009,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,6709.046455,8.338434182,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,7718.826406,8.900396669,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,8728.606357,9.217603912,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,9755.501222,9.709679074,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,10731.05134,9.991835793,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,11740.8313,10.37897311,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
,12750.61125,10.62625028,30,632.29,3,41.2,27.2,58.8,65.7,0,5.7,15.4,13.2,0.71,11.82123602,6.123459652,1.753832265,0.999601213,25501.2225
BH A/26,355.5018138,2.245250432,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,846.43289,4.594127807,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,1726.723096,7.979274611,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,2708.585248,10.67357513,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,3775.090689,12.46977547,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,4790.810157,13.64421416,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,5755.743652,14.54231434,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,6737.605804,15.16407599,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,7753.325272,15.75129534,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,8752.116082,16.02763385,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,9767.83555,16.30397237,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,10732.76904,16.44214162,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,11765.41717,17.13298791,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
,12747.27932,17.3402418,30,892.81,2.2,42.2,12.9,57.8,80,0,5.2,10.7,4.1,0.73,17.83490912,7.574925914,2.219600266,0.998889078,25494.55864
BH A/29,365.7540138,2.56239647,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,830.1796636,4.517432785,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,1675.048579,6.808820719,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,2767.767266,8.998431129,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,3727.613723,10.41264494,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,4736.879619,11.62437882,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,5696.16861,12.36405772,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,6704.988532,13.03616367,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,7713.808454,13.70826962,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,8689.514845,14.31300172,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,9714.668546,14.74898063,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,10706.73659,15.15131244,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,11715.41714,15.65478466,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
,12690.81693,15.88852255,30,983.86,1.3,38.9,24.7,61.1,76,0,4.5,13.8,5.7,0.8,17.52283944,7.154139807,1.639414764,0.999750441,25381.63386
BH A/31,356.763285,2,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,831.7966017,3.896551724,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,1713.005997,6.24137931,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,2729.71431,8.862068966,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,3728.494086,10.27586207,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,4693.165917,11.34482759,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,5792.666167,11.89655172,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,6723.463268,12.89655172,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,7755.418124,13.55172414,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,8719.681826,14.13793103,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,9768.369982,14.5862069,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,10749.25037,14.82758621,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,11747.12644,15.17241379,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
,12744.91504,15.4137931,30,1035.63,2.4,37.4,21.7,62.6,70.8,0,5.1,7.7,16.4,0.86,16.65007247,7.063946054,1.847262292,0.998639836,25489.83008
BH A/32,354.5277048,1.86441031,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,785.5180106,3.383208755,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,1693.153476,5.902558285,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,2707.820676,7.868966706,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,3706.845387,9.455448263,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,4720.95582,10.69646946,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,5765.158158,11.14294317,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,6748.195717,11.90044863,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,7746.584124,12.65791622,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,8760.031739,13.03538119,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,9742.777659,13.41292191,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,10771.49658,13.68672225,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,11784.97071,14.09872947,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
,12706.31324,14.4764217,30,1098.01,1.6,37.8,26.8,62.2,63.2,0,8.8,13.4,14.6,0.77,15.51173851,7.022115242,1.829710433,0.999024538,25412.62648
BH A/34,334.7826087,2.529059829,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,821.7391304,4.989409142,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,1689.130435,7.961649944,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,2693.478261,10.42073579,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,3667.391304,12.09357116,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,4580.434783,13.11698253,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,5782.608696,13.96874768,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,6726.086957,14.85533259,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,7745.652174,15.29728725,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,8719.565217,15.87610554,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,9647.826087,16.38665923,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,10682.6087,16.6918246,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,11717.3913,16.8260498,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
,12691.30435,17.16555184,30,1122.95,2.2,36.4,24.5,63.6,70.8,0,7.4,4.7,17.1,0.84,18.15203191,7.620381291,1.942447582,0.999493193,25382.6087
BH B/11,364.92891,1.353637902,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,845.971564,3.011844332,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,1791.469194,4.162436548,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,2753.554502,5.51607445,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,3699.052133,6.497461929,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,4710.900474,7.58037225,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,5689.57346,8.663282572,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,6718.009479,9.475465313,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,7696.682464,10.01692047,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,8708.530806,10.65989848,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,9703.791469,11.16751269,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,10732.22749,11.43824027,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,11744.07583,11.77664975,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
,12739.33649,12.04737733,30,505.69,2.6,43.8,25,56.2,60.4,0,8.1,11.6,19.8,0.68,14.73886468,5.805250715,1.409291216,0.996761005,25478.67298
BH B/12,389.8509079,1.137931034,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,846.9265367,1.793103448,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,1727.40713,3.275862069,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,2726.041146,4.517241379,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,3656.896552,5.586206897,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,4706.167749,6.724137931,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,5704.277028,7.344827586,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,6736.202732,7.965517241,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,7717.520406,8.724137931,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,8749.44611,9.344827586,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,9696.626687,9.724137931,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,10694.56105,10.13793103,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,11709.28702,10.4137931,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
,12724.1296,10.82758621,30,566.115,2.9,43,23.2,57,59.6,0,5.4,20.6,14.4,0.64,13.02958837,5.494037658,1.489232228,0.999087507,25448.2592
BH B/18,387.2140709,1.337907376,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,858.0154744,2.264150943,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,1749.143395,3.97941681,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,2707.388806,5.660377358,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,3715.907548,7.238421955,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,4757.279597,7.958833619,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,5731.793296,9.022298456,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,6706.249409,10.01715266,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,7680.27362,10.4974271,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,8721.415321,10.94339623,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,9745.568897,11.14922813,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,10702.63378,11.42367067,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,11710.23113,11.90394511,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
,12734.52867,12.2813036,30,756.69,2.7,44.8,22.4,55.2,57.7,0,10,13,19.2,0.74,13.61526056,6.169926925,1.783767242,0.99730295,25469.05734
BH B/20,440.1451028,1.83074266,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,880.2902056,3.385146805,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,1777.509069,5.319516408,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,2776.299879,7.530224525,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,3792.019347,8.946459413,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,4773.881499,10.25906736,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,6754.534462,11.88255613,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,7787.182588,12.5388601,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,8718.258767,13.12607945,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,9784.764208,13.57512953,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,10800.48368,13.98963731,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,11714.6312,14.36960276,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
,12781.13664,14.47322971,30,916.17,1.6,40.7,13.7,59.3,61.45,0,9.3,16.8,12.4,0.74,16.11326691,6.517415663,1.777157029,0.999279585,25562.27328
BH B/22,348.5004141,1.685540902,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,861.9831486,2.999649592,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,1723.40883,5.324724452,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,2749.956199,7.447040647,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,3726.331549,8.861214641,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,4719.124299,10.14044183,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,5744.723974,11.11604867,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,6720.458238,11.75450752,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,7745.779179,12.3928469,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,8771.239488,13.19982002,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,9763.168164,13.43351809,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,10738.59582,13.70098273,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,11747.08126,13.96836774,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
,12772.03985,14.16825943,30,1019.88,1.8,43.9,17.5,56.1,74.5,0,7.3,9,9.2,0.79,15.57416657,6.643271488,1.86507892,0.998529277,25544.0797
BH B/24,339.0177805,1.657194692,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,785.6505741,3.55592,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,1662.584343,6.07534528,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,2677.251543,8.041753701,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,3676.382305,9.766404254,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,4675.088865,10.93837882,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,5688.881145,11.76489303,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,6656.461806,12.38426737,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,7700.796706,13.00345233,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
,8714.32386,13.48454405,30,1118.1,1.9,31.7,25.3,68.3,49,0,12,15,24,0.82,15.5827839,7.138393442,1.95957421,0.99953084,25412.8916
